vehicles,cores,seed,completion_rate,loss_rate,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,max_queue_depth,utilization,deadline_ns,mean_verify_ns
50,8,4,1.000000,0.000000,3430399,3571711,4481023,4481023,4481023,0,0.179610,100000000,2905894.0
50,8,5,1.000000,0.000000,3405823,3514367,3592191,3592191,3592191,0,0.179185,100000000,2905894.0
50,8,6,1.000000,0.000000,3416063,3545087,3647487,3647487,3647487,0,0.176109,100000000,2905894.0
50,8,7,1.000000,0.000000,3403775,3655679,4407295,4407295,4407295,0,0.179078,100000000,2905894.0
50,8,8,1.000000,0.000000,3387391,3543039,4554751,4554751,4554751,0,0.178653,100000000,2905894.0
50,8,9,1.000000,0.000000,3428351,3583999,3649535,3649535,3649535,0,0.177131,100000000,2905894.0
50,8,10,1.000000,0.000000,3379199,3500031,3575807,3575807,3575807,0,0.176376,100000000,2905894.0
100,1,1,0.510000,0.000000,95879167,173408255,190840831,193724415,193724415,66,0.992450,100000000,2905894.0
100,1,2,0.470000,0.000000,104267775,172883967,193200127,194904063,194904063,67,0.995354,100000000,2905894.0
100,1,3,0.540000,0.000000,88932351,171311103,188612607,191234047,191234047,65,0.997562,100000000,2905894.0
100,1,4,0.480000,0.000000,103612415,174850047,190840831,193462271,193462271,66,0.997063,100000000,2905894.0
100,1,5,0.530000,0.000000,92143615,170524671,191365119,194248703,194248703,66,0.995263,100000000,2905894.0
100,1,6,0.520000,0.000000,92995583,174587903,190578687,192675839,192675839,66,0.991361,100000000,2905894.0
100,1,7,0.490000,0.000000,100925439,172097535,190185471,192151551,192151551,65,0.998299,100000000,2905894.0
100,1,8,0.460000,0.000000,107151359,173277183,191365119,194248703,194248703,66,0.997160,100000000,2905894.0
100,1,9,0.510000,0.000000,96141311,174325759,192151551,194641919,194641919,66,0.990072,100000000,2905894.0
100,1,10,0.490000,0.000000,100139007,171442175,190054399,192937983,192937983,66,0.993434,100000000,2905894.0
100,2,1,1.000000,0.000000,24281087,44204031,49545215,49905663,49905663,32,0.973109,100000000,2905894.0
100,2,2,1.000000,0.000000,32800767,43319295,50003967,50462719,50462719,34,0.986536,100000000,2905894.0
100,2,3,1.000000,0.000000,22003711,45613055,51281919,51511295,51511295,34,0.963468,100000000,2905894.0
100,2,4,1.000000,0.000000,31358975,45187071,48332799,48857087,48857087,32,0.993134,100000000,2905894.0
100,2,5,1.000000,0.000000,21381119,42106879,48726015,48857087,48857087,32,0.988948,100000000,2905894.0
100,2,6,1.000000,0.000000,23248895,45973503,49414143,51019775,51019775,33,0.965611,100000000,2905894.0
100,2,7,1.000000,0.000000,29835263,43810815,47284223,47710207,47710207,31,0.993906,100000000,2905894.0
