profile,mechanism,epsilon,delta,n_observations,auc,auc_ci_lo,auc_ci_hi,advantage,advantage_ci_lo,advantage_ci_hi,train_windows,test_windows,train_pool,test_pool,emulated
p1,m-bucket,0.1,1e-06,256,0.7877017777777777,0.7688411845552072,0.8070138500965452,0.5754035555555554,0.5376823691104144,0.6140277001930905,3000,3000,8000,8000,False
p1,m-geo,0.5,1e-06,1,0.5298264444444445,0.5092778613933431,0.5501183695441639,0.05965288888888898,0.018555722786686157,0.10023673908832786,3000,3000,8000,8000,False
p1,m-geo,0.5,1e-06,4,0.5478713333333333,0.527986402296055,0.5667681712935688,0.09574266666666653,0.05597280459210996,0.13353634258713765,3000,3000,8000,8000,False
p1,m-geo,0.5,1e-06,16,0.5730377777777778,0.5524289157683147,0.5938729254994245,0.14607555555555551,0.10485783153662931,0.187745850998849,3000,3000,8000,8000,False
p1,m-geo,0.5,1e-06,64,0.6793846666666666,0.6596167364884712,0.6975377037703769,0.3587693333333333,0.3192334729769424,0.3950754075407539,3000,3000,8000,8000,False
p1,m-geo,0.5,1e-06,256,0.8074862222222222,0.7913246949349638,0.8226796475866982,0.6149724444444444,0.5826493898699276,0.6453592951733964,3000,3000,8000,8000,False
p1,m-bucket,0.5,1e-06,1,0.5174117777777778,0.498331216775339,0.5369971970650529,0.03482355555555561,0.003337566449322038,0.07399439413010578,3000,3000,8000,8000,False
p1,m-bucket,0.5,1e-06,4,0.5019744444444445,0.48145681594908385,0.5224564087331265,0.003948888888889002,0.0370863681018323,0.044912817466252974,3000,3000,8000,8000,False
p1,m-bucket,0.5,1e-06,16,0.49816977777777777,0.47771614446450716,0.5177578652633942,0.003660444444444466,0.03551573052678836,0.04456771107098567,3000,3000,8000,8000,False
p1,m-bucket,0.5,1e-06,64,0.46803577777777783,0.44843241358230346,0.4887693604257407,0.06392844444444434,0.022461279148518587,0.10313517283539309,3000,3000,8000,8000,False
p1,m-bucket,0.5,1e-06,256,0.4170111111111111,0.3974409497084438,0.43759119794452334,0.16597777777777778,0.12481760411095333,0.20511810058311242,3000,3000,8000,8000,False
